Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
OnePlus,OnePlus Nord CE4 lite 5G,"₹17,890",4.4,"34,229 Ratings & 1,609 Reviews",8.0,128.0,5500.0,6.67,50MP
OnePlus,OnePlus Nord CE5 5G,"₹26,831",4.5,"4,641 Ratings & 265 Reviews",8.0,256.0,7100.0,6.77,50MP
OnePlus,OnePlus Nord CE5 5G,"₹26,887",4.5,"4,641 Ratings & 265 Reviews",8.0,256.0,7100.0,6.77,50MP
OnePlus,OnePlus Nord 5,"₹31,670",4.5,966 Ratings & 64 Reviews,8.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus Nord CE4,"₹19,981",4.4,"26,740 Ratings & 1,466 Reviews",8.0,128.0,5500.0,6.7,50MP
OnePlus,OnePlus Nord CE4,"₹19,539",4.4,"26,740 Ratings & 1,466 Reviews",8.0,128.0,5500.0,6.7,50MP
OnePlus,OnePlus 13R 5g,"₹37,728",4.5,"4,056 Ratings & 268 Reviews",12.0,256.0,6000.0,6.78,50MP
OnePlus,OnePlus 13R 5G,"₹38,030",4.5,"4,056 Ratings & 268 Reviews",12.0,256.0,6000.0,6.78,50MP
OnePlus,OnePlus Nord CE5 5G,"₹24,940",4.5,"4,641 Ratings & 265 Reviews",8.0,128.0,7100.0,6.77,50MP
OnePlus,OnePlus Nord CE4 lite 5G,"₹17,886",4.4,"34,229 Ratings & 1,609 Reviews",8.0,128.0,5500.0,6.67,50MP
OnePlus,OnePlus Nord CE5 5G,"₹24,750",4.5,"4,641 Ratings & 265 Reviews",8.0,128.0,7100.0,6.77,50MP
OnePlus,OnePlus 13s 5G,"₹50,969",4.5,"1,050 Ratings & 79 Reviews",12.0,256.0,5850.0,6.32,50MP
OnePlus,OnePlus Nord 5 5G,"₹31,805",4.5,874 Ratings & 45 Reviews,8.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus Nord CE5 5G,"₹26,848",4.5,"4,641 Ratings & 265 Reviews",8.0,256.0,7100.0,6.77,50MP
OnePlus,OnePlus Nord CE5 5G,"₹24,985",4.5,"4,641 Ratings & 265 Reviews",8.0,128.0,7100.0,6.77,50MP
OnePlus,OnePlus Nord 5 5G,"₹34,587",4.5,939 Ratings & 78 Reviews,12.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus Nord 5 5G,"₹31,762",4.5,874 Ratings & 45 Reviews,8.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus 9 5G,"₹23,963",3.8,496 Ratings & 48 Reviews,8.0,128.0,4500.0,6.55,48MP
OnePlus,OnePlus Nord 4 5G,"₹27,349",4.5,"4,528 Ratings & 276 Reviews",8.0,256.0,5500.0,6.74,50MP
OnePlus,OnePlus Nord 5 5G,"₹37,988",4.5,939 Ratings & 78 Reviews,12.0,512.0,6800.0,6.83,50MP
OnePlus,OnePlus Nord 4 5G,"₹27,964",4.5,"4,528 Ratings & 276 Reviews",8.0,256.0,5500.0,6.74,50MP
OnePlus,OnePlus 13s 5G,"₹50,874",4.5,"1,050 Ratings & 79 Reviews",12.0,256.0,5850.0,6.32,50MP
OnePlus,OnePlus Nord 5�5G,"₹32,999",4.5,545 Ratings & 51 Reviews,8.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus Nord CE 2 5G,"₹18,990",4.3,"3,859 Ratings & 316 Reviews",8.0,128.0,4500.0,6.43,50MP
OnePlus,OnePlus Nord CE 2 5G,"₹15,599",4.3,"3,859 Ratings & 316 Reviews",8.0,128.0,4500.0,6.43,64MP
OnePlus,OnePlus 13s 5G,"₹50,920",4.5,"1,050 Ratings & 79 Reviews",12.0,256.0,5850.0,6.32,50MP
OnePlus,OnePlus Nord 5�5G,"₹32,999",4.5,545 Ratings & 51 Reviews,8.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus Nord CE 2 5G,"₹18,990",4.3,"3,859 Ratings & 316 Reviews",8.0,128.0,4500.0,6.43,50MP
OnePlus,OnePlus Nord 5 5G,"₹37,999",4.5,939 Ratings & 78 Reviews,12.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus 13s 5G,"₹50,999",4.5,"1,050 Ratings & 79 Reviews",12.0,256.0,5850.0,6.32,50MP
OnePlus,OnePlus 8T 5G,"₹22,401",4.1,216 Ratings & 19 Reviews,8.0,128.0,4500.0,6.55,48MP
OnePlus,OnePlus Nord 4 5G,"₹28,999",4.5,"4,528 Ratings & 276 Reviews",8.0,256.0,5500.0,6.74,50MP
OnePlus,OnePlus Nord 5 5G,"₹34,948",4.5,939 Ratings & 78 Reviews,12.0,256.0,6800.0,6.83,50MP
OnePlus,OnePlus 13s 5G,"₹55,988",4.5,"1,050 Ratings & 79 Reviews",12.0,512.0,5850.0,6.32,50MP
OnePlus,OnePlus Nord CE4,"₹23,154",4.4,"26,740 Ratings & 1,466 Reviews",8.0,256.0,5500.0,6.7,50MP
OnePlus,OnePlus 8T 5G,"₹26,999",3.1,87 Ratings & 12 Reviews,12.0,256.0,4500.0,6.55,48MP
OnePlus,OnePlus 13s 5G,"₹55,940",4.5,"1,050 Ratings & 79 Reviews",12.0,512.0,5850.0,6.32,50MP
OnePlus,OnePlus Nord CE4 lite 5G,"₹20,899",4.4,"34,229 Ratings & 1,609 Reviews",8.0,256.0,5500.0,6.67,50MP
OnePlus,OnePlus 10T 5G,"₹33,244",4.3,305 Ratings & 19 Reviews,8.0,128.0,4800.0,6.7,50MP
OnePlus,OnePlus Nord CE 2 Lite 5G,"₹17,990",4.3,"6,871 Ratings & 520 Reviews",8.0,128.0,5000.0,6.59,64MP
OnePlus,OnePlus 13,"₹62,493",4.5,513 Ratings & 45 Reviews,12.0,256.0,6000.0,6.82,50MP
OnePlus,OnePlus 11 5G,"₹39,799",4.5,"1,885 Ratings & 158 Reviews",16.0,256.0,5000.0,6.7,50MP
OnePlus,OnePlus 10 Pro 5G,"₹34,989",4.2,828 Ratings & 49 Reviews,8.0,128.0,5000.0,6.7,48MP
OnePlus,OnePlus Nord CE3 5G,"₹22,999",4.4,"12,860 Ratings & 947 Reviews",8.0,128.0,5000.0,6.7,50MP
OnePlus,OnePlus Nord 3 5G,"₹27,890",4.3,"16,378 Ratings & 1,275 Reviews",8.0,128.0,5000.0,6.74,50MP
OnePlus,OnePlus 13,"₹75,999",4.6,250 Ratings & 21 Reviews,16.0,512.0,6000.0,6.82,50MP
OnePlus,OnePlus Nord 3 5G,"₹26,899",4.3,"16,378 Ratings & 1,275 Reviews",8.0,128.0,5000.0,6.74,50MP
OnePlus,OnePlus Nord 2T 5G,,4.3,"13,663 Ratings & 1,034 Reviews",8.0,128.0,4500.0,6.7,50MP
OnePlus,OnePlus 10T 5G,"₹33,990",4.3,305 Ratings & 19 Reviews,8.0,128.0,4800.0,6.7,50MP
OnePlus,OnePlus Nord 4 5G,"₹29,321",4.5,710 Ratings & 31 Reviews,12.0,256.0,5500.0,6.74,50MP
OnePlus,OnePlus 11 5G,"₹39,499",4.5,"1,885 Ratings & 158 Reviews",16.0,256.0,5000.0,6.7,50MP
OnePlus,OnePlus 11 5G,"₹42,999",4.4,"1,334 Ratings & 128 Reviews",8.0,128.0,5000.0,6.7,50MP
OnePlus,OnePlus 12R,"₹39,790",4.5,"7,728 Ratings & 483 Reviews",8.0,256.0,5500.0,6.78,50MP
OnePlus,OnePlus 10 Pro 5G,"₹39,990",3.9,361 Ratings & 20 Reviews,12.0,256.0,5000.0,6.7,48MP
OnePlus,OnePlus 13,"₹62,890",4.5,513 Ratings & 45 Reviews,12.0,256.0,6000.0,6.82,50MP
OnePlus,OnePlus Nord 4 5G,"₹27,906",4.5,"4,528 Ratings & 276 Reviews",8.0,128.0,5500.0,6.74,50MP
OnePlus,OnePlus 11 5G,"₹35,998",4.4,"1,334 Ratings & 128 Reviews",8.0,128.0,5000.0,6.7,50MP
OnePlus,OnePlus 11 5G,"₹39,990",4.5,"1,885 Ratings & 158 Reviews",16.0,256.0,5000.0,6.7,50MP
OnePlus,OnePlus 12R,"₹39,999",4.5,"7,728 Ratings & 483 Reviews",8.0,128.0,5500.0,6.78,50MP
OnePlus,OnePlus 8,"₹29,999",4.5,499 Ratings & 61 Reviews,8.0,128.0,4300.0,6.55,48MP
OnePlus,OnePlus 11 5G,"₹35,999",4.4,"1,334 Ratings & 128 Reviews",8.0,128.0,5000.0,6.7,50MP
OnePlus,OnePlus 10R,"₹27,905",4.3,"7,571 Ratings & 442 Reviews",8.0,128.0,5000.0,6.7,50MP
OnePlus,OnePlus 13,"₹71,999",4.6,250 Ratings & 21 Reviews,16.0,512.0,6000.0,6.82,50MP
OnePlus,OnePlus Nord,"₹27,999",3.9,283 Ratings & 20 Reviews,12.0,256.0,4115.0,6.44,48MP
OnePlus,OnePlus 10R,"₹38,999",4.3,"7,571 Ratings & 442 Reviews",8.0,128.0,5000.0,6.7,50MP
OnePlus,OnePlus 8,"₹29,999",4.4,316 Ratings & 37 Reviews,12.0,256.0,4300.0,6.55,48MP
OnePlus,OnePlus Nord,"₹27,999",4.1,248 Ratings & 24 Reviews,8.0,128.0,4115.0,6.44,48MP
OnePlus,OnePlus Nord,"₹21,999",3.9,283 Ratings & 20 Reviews,12.0,256.0,4115.0,6.44,48MP
OnePlus,OnePlus Open,"₹1,25,000",4.6,61 Ratings & 4 Reviews,16.0,512.0,4805.0,7.82,64MP
OnePlus,OnePlus 8,"₹38,999",4.5,499 Ratings & 61 Reviews,8.0,128.0,4300.0,6.55,48MP
OnePlus,OnePlus Open,"₹1,25,000",4.6,61 Ratings & 4 Reviews,16.0,512.0,4805.0,7.82,64MP
OnePlus,OnePlus NORD CE5,"₹24,999",,,8.0,256.0,7100.0,6.77,50MP
OnePlus,OnePlus Nord,"₹27,999",4.1,248 Ratings & 24 Reviews,8.0,128.0,4115.0,6.44,48MP
OnePlus,OnePlus 8T 5G,"₹27,899",3.1,87 Ratings & 12 Reviews,12.0,256.0,4500.0,6.55,48MP
OnePlus,OnePlus Nord 2T 5G,"₹27,999",4.3,"13,663 Ratings & 1,034 Reviews",8.0,128.0,4500.0,6.7,50MP
OnePlus,OnePlus Nord CE 2 5G,"₹18,990",4.3,"3,859 Ratings & 316 Reviews",8.0,128.0,4500.0,6.43,64MP
OnePlus,OnePlus Nord CE 2 5G,"₹17,990",4.2,607 Ratings & 55 Reviews,6.0,128.0,4500.0,6.43,64MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,Banety Single SIM Keypad Mobile Phone with Wireless FM,₹830,,,,,800.0,1.52,0MP
OnePlus,Kechaoda K33,₹977,4.0,"11,019 Ratings & 621 Reviews",,32.0,800.0,1.44,3MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,Rastic SM Guruu Music 2,₹819,3.5,22 Ratings & 1 Reviews,,,850.0,2.5,0MP
OnePlus,Jio Refurbished rileance F90C,"₹1,549",3.3,19 Ratings & 0 Reviews,,4.0,1500.0,2.4,1MP
OnePlus,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"23,720 Ratings & 1,386 Reviews",,,1900.0,2.8,8MP
OnePlus,hmd 105 Dual Sim,"₹1,079",3.7,"3,718 Ratings & 272 Reviews",,,1000.0,2.0,
OnePlus,Rastic SM Guruu Music 2 Mobile,₹830,,,,,850.0,2.5,0MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,hmd 105 Dual Sim,"₹1,079",3.7,"3,718 Ratings & 272 Reviews",,,1000.0,2.0,
OnePlus,"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons",,3.8,"10,435 Ratings & 656 Reviews",,,1450.0,2.4,0MP
OnePlus,Nokia 105 Classic without Charger,"₹1,049",3.7,"6,164 Ratings & 263 Reviews",,,800.0,1.77,0MP
OnePlus,REDMI 15 5G,"₹14,099",4.2,671 Ratings & 35 Reviews,6.0,128.0,7000.0,6.9,50MP
OnePlus,"LAVA A5 2023 Keypad Mobile, LED Torch, FM Radio,Call Recording, Expandable Upto 32 GB",₹990,3.9,428 Ratings & 23 Reviews,,,1000.0,2.4,3MP
OnePlus,REDMI A5,"₹7,499",4.2,"3,840 Ratings & 194 Reviews",4.0,128.0,5200.0,6.88,32MP
OnePlus,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,239",3.8,"1,79,056 Ratings & 11,393 Reviews",,,1000.0,1.77,0MP
OnePlus,Jio PRIMA2 4G,"₹3,230",3.8,"1,569 Ratings & 79 Reviews",,4.0,1800.0,2.4,3MP
OnePlus,Jio F320B,"₹1,749",3.7,"5,287 Ratings & 301 Reviews",,4.0,1500.0,2.4,3MP
OnePlus,OnePlus 7T Pro,"₹39,999",4.5,834 Ratings & 68 Reviews,8.0,256.0,4085.0,6.67,48MP
OnePlus,OnePlus Nord CE 5G,"₹28,999",4.1,541 Ratings & 47 Reviews,12.0,128.0,4500.0,6.43,64MP
OnePlus,OnePlus Nord CE 2 5G,"₹17,990",4.2,607 Ratings & 55 Reviews,6.0,128.0,4500.0,6.43,64MP
OnePlus,OnePlus Nord CE 5G,"₹24,699",3.6,129 Ratings & 10 Reviews,8.0,128.0,4500.0,6.43,64MP
OnePlus,Banety SM-Metro E313 Keypad Mobile Phone,₹890,,,,,1000.0,2.03,3MP
OnePlus,POCO C71,"₹6,799",4.1,"23,628 Ratings & 1,139 Reviews",6.0,128.0,5200.0,6.88,32MP
OnePlus,Jio F320 B Lyf,"₹1,715",3.7,18 Ratings & 1 Reviews,,,1500.0,6.1,3MP
OnePlus,Banety Single SIM Keypad Mobile Phone with Wireless FM,₹830,,,,,800.0,1.52,0MP
OnePlus,Kechaoda K33,₹977,4.0,"11,019 Ratings & 621 Reviews",,32.0,800.0,1.44,3MP
OnePlus,Rastic SM Guruu Music 2 Mobile,₹830,,,,,850.0,2.5,0MP
