Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Realme,realme C61,"₹6,499",4.4,"33,054 Ratings & 1,038 Reviews",4,64.0,5000.0,6.745,32MP
Realme,realme C61,"₹6,499",4.4,"33,054 Ratings & 1,038 Reviews",4,64.0,5000.0,6.745,32MP
Realme,realme P3x 5G,"₹11,499",4.4,"60,539 Ratings & 2,262 Reviews",6,128.0,6000.0,6.72,50MP
Realme,realme C71,"₹8,699",4.2,"5,916 Ratings & 224 Reviews",6,128.0,6300.0,6.75,13MP
Realme,realme Narzo 80 Lite 4G,"₹7,423",4.3,"1,193 Ratings & 48 Reviews",4,64.0,6300.0,6.74,13MP
Realme,realme Narzo 80 Lite 4G,"₹7,349",4.3,"1,193 Ratings & 48 Reviews",4,64.0,6300.0,6.74,13MP
Realme,realme Narzo 80 Lite 4G,"₹8,399",4.3,728 Ratings & 39 Reviews,6,128.0,6300.0,6.74,13MP
Realme,realme 15x 5G,"₹16,999",4.4,"2,130 Ratings & 167 Reviews",6,128.0,7000.0,6.8,50MP
Realme,realme C71,"₹7,494",4.4,212 Ratings & 7 Reviews,4,64.0,6300.0,6.75,13MP
Realme,realme P3 Lite 5G Charger in the Box,"₹10,499",4.4,"4,548 Ratings & 182 Reviews",4,128.0,6000.0,6.67,32MP
Realme,realme P3x 5G,"₹11,499",4.4,"60,539 Ratings & 2,262 Reviews",6,128.0,6000.0,6.72,50MP
Realme,realme Narzo 80 Lite 5G,"₹10,428",4.3,416 Ratings & 18 Reviews,4,128.0,6000.0,6.67,50MP
Realme,realme P3x 5G,"₹12,499",4.4,"19,892 Ratings & 812 Reviews",8,128.0,6000.0,6.72,50MP
Realme,realme C71,"₹8,699",4.2,"5,916 Ratings & 224 Reviews",6,128.0,6300.0,6.75,13MP
Realme,realme 14 Pro+ 5G,"₹23,999",4.4,"14,990 Ratings & 1,825 Reviews",8,256.0,6000.0,6.83,50MP
Realme,realme Narzo 80 Lite 5G,"₹10,825",4.3,"3,125 Ratings & 126 Reviews",6,128.0,6000.0,6.67,32MP
Realme,realme 15x 5G,"₹19,999",4.3,"1,665 Ratings & 120 Reviews",8,256.0,7000.0,6.8,50MP
Realme,realme P3x 5G,"₹12,499",4.4,"19,892 Ratings & 812 Reviews",8,128.0,6000.0,6.72,50MP
Realme,realme C71,"₹7,080",4.4,212 Ratings & 7 Reviews,4,64.0,6300.0,6.75,13MP
Realme,realme P4 5G,"₹17,999",4.4,"14,450 Ratings & 924 Reviews",6,128.0,7000.0,6.77,50MP
Realme,realme P3x 5G,"₹11,499",4.4,"60,539 Ratings & 2,262 Reviews",6,128.0,6000.0,6.72,50MP
