Brand,Model,Price,Rating,Reviews,RAM(GB),ROM(GB),Battery(mAh),Screen_Size(inch),Camera
Vivo,vivo T4 Lite 5G Charger in the Box,"₹10,499",4.4,"34,302 Ratings & 1,019 Reviews",4.0,128.0,6000,6.74,50MP
Vivo,vivo T4x 5G,"₹14,499",4.4,"1,80,231 Ratings & 8,062 Reviews",6.0,128.0,6500,6.72,50MP
Vivo,vivo T4 Lite 5G Charger in the Box,"₹13,499",4.3,"16,656 Ratings & 724 Reviews",8.0,256.0,6000,6.74,50MP
Vivo,vivo T4 Lite 5G Charger in the Box,"₹10,499",4.4,"34,302 Ratings & 1,019 Reviews",4.0,128.0,6000,6.74,50MP
Vivo,vivo Y19e,"₹7,962",4.3,"2,833 Ratings & 96 Reviews",4.0,64.0,5500,6.74,13MP
Vivo,vivo T4 Lite 5G Charger in the Box,"₹11,499",4.4,"45,877 Ratings & 1,427 Reviews",6.0,128.0,6000,6.74,50MP
Vivo,vivo T4x 5G,"₹17,499",4.4,"1,34,136 Ratings & 6,451 Reviews",8.0,256.0,6500,6.72,50MP
Vivo,vivo T4 Lite 5G Charger in the Box,"₹11,499",4.4,"45,877 Ratings & 1,427 Reviews",6.0,128.0,6000,6.74,50MP
Vivo,vivo T4 Lite 5G Charger in the Box,"₹13,499",4.3,"16,656 Ratings & 724 Reviews",8.0,256.0,6000,6.74,50MP
Vivo,vivo T4R 5G,"₹19,499",4.5,"40,856 Ratings & 1,806 Reviews",8.0,128.0,5700,6.77,50MP
Vivo,vivo T4x 5G,"₹15,499",4.4,"1,34,136 Ratings & 6,451 Reviews",8.0,128.0,6500,6.72,50MP
Vivo,vivo T4 5G,"₹22,999",4.5,"81,392 Ratings & 3,715 Reviews",8.0,256.0,7300,6.77,50MP
Vivo,vivo Y19e,"₹7,979",4.3,"2,833 Ratings & 96 Reviews",4.0,64.0,5500,6.74,13MP
Vivo,vivo T4x 5G,"₹15,499",4.4,"1,34,136 Ratings & 6,451 Reviews",8.0,128.0,6500,6.72,50MP
Vivo,vivo T4R 5G,"₹19,499",4.5,"40,856 Ratings & 1,806 Reviews",8.0,128.0,5700,6.77,50MP
Vivo,vivo T4 5G,"₹20,999",4.5,"81,392 Ratings & 3,715 Reviews",8.0,128.0,7300,6.77,50MP
Vivo,vivo T4x 5G,"₹14,499",4.4,"1,80,231 Ratings & 8,062 Reviews",6.0,128.0,6500,6.72,50MP
Vivo,vivo T4x 5G,"₹14,499",4.4,"1,80,231 Ratings & 8,062 Reviews",6.0,128.0,6500,6.72,50MP
Vivo,vivo T4x 5G,"₹17,499",4.4,"1,34,136 Ratings & 6,451 Reviews",8.0,256.0,6500,6.72,50MP
Vivo,vivo T4 5G,"₹24,999",4.5,"19,548 Ratings & 1,043 Reviews",12.0,256.0,7300,6.77,50MP
Vivo,vivo T4R 5G,"₹21,499",4.5,"40,856 Ratings & 1,806 Reviews",8.0,256.0,5700,6.77,50MP
Vivo,vivo Y22,"₹9,999",4.3,"2,442 Ratings & 142 Reviews",4.0,128.0,5000,6.55,50MP
Vivo,vivo T4 5G,"₹22,999",4.5,"81,392 Ratings & 3,715 Reviews",8.0,256.0,7300,6.77,50MP
Vivo,vivo Y28s 5G,"₹12,999",4.3,775 Ratings & 22 Reviews,4.0,128.0,5000,6.56,50MP
Vivo,vivo T4x 5G,"₹17,499",4.4,"1,34,136 Ratings & 6,451 Reviews",8.0,256.0,6500,6.72,50MP
Vivo,vivo T4x 5G,"₹15,499",4.4,"1,34,136 Ratings & 6,451 Reviews",8.0,128.0,6500,6.72,50MP
Vivo,vivo V60e,"₹31,999",4.3,"1,091 Ratings & 74 Reviews",8.0,256.0,6500,6.77,200MP
Vivo,vivo T4R 5G,"₹23,499",4.4,"3,626 Ratings & 181 Reviews",12.0,256.0,5700,6.77,50MP
Vivo,vivo T4 Pro 5G,"₹29,999",4.5,"9,498 Ratings & 613 Reviews",8.0,256.0,6500,6.77,50MP
Vivo,vivo T4R 5G,"₹21,499",4.5,"40,856 Ratings & 1,806 Reviews",8.0,256.0,5700,6.77,50MP
Vivo,vivo T4 5G,"₹24,999",4.5,"19,548 Ratings & 1,043 Reviews",12.0,256.0,7300,6.77,50MP
Vivo,vivo T4 5G,"₹20,999",4.5,"81,392 Ratings & 3,715 Reviews",8.0,128.0,7300,6.77,50MP
Vivo,vivo V60 5G,"₹45,999",4.5,536 Ratings & 42 Reviews,16.0,512.0,6500,6.77,50MP
Vivo,vivo V60e,"₹33,999",4.3,429 Ratings & 35 Reviews,12.0,256.0,6500,6.77,200MP
Vivo,vivo T3 Pro 5G,"₹22,999",4.5,"90,929 Ratings & 5,580 Reviews",8.0,128.0,5500,6.77,50MP
Vivo,vivo T4 Pro 5G,"₹27,999",4.5,"9,498 Ratings & 613 Reviews",8.0,128.0,6500,6.77,50MP
Vivo,vivo V50e 5G,"₹25,979",4.4,"2,711 Ratings & 163 Reviews",8.0,256.0,5600,6.77,50MP
Vivo,vivo T4 Ultra 5G,"₹39,999",4.5,"2,788 Ratings & 267 Reviews",12.0,512.0,5500,6.67,50MP
Vivo,vivo T4 Ultra 5G,"₹35,999",4.5,"3,778 Ratings & 364 Reviews",8.0,256.0,5500,6.67,50MP
Vivo,vivo V60e,"₹29,999",4.3,"1,091 Ratings & 74 Reviews",8.0,128.0,6500,6.77,200MP
Vivo,vivo V60e,"₹29,999",4.3,"1,091 Ratings & 74 Reviews",8.0,128.0,6500,6.77,200MP
Vivo,vivo Y31 5G,"₹14,999",4.4,120 Ratings & 1 Reviews,4.0,128.0,6500,6.68,50MP
Vivo,vivo V50e 5G,"₹24,788",4.4,"2,711 Ratings & 163 Reviews",8.0,256.0,5600,6.77,50MP
Vivo,vivo T4R 5G,"₹23,499",4.4,"3,626 Ratings & 181 Reviews",12.0,256.0,5700,6.77,50MP
Vivo,vivo V25 5G,"₹18,769",4.3,"9,409 Ratings & 816 Reviews",8.0,128.0,4500,6.44,64MP
Vivo,vivo T4 Pro 5G,"₹31,999",4.5,"2,347 Ratings & 173 Reviews",12.0,256.0,6500,6.77,50MP
Vivo,vivo T4 Pro 5G,"₹29,999",4.5,"9,498 Ratings & 613 Reviews",8.0,256.0,6500,6.77,50MP
Vivo,vivo V60 5G,"₹38,999",4.5,"2,103 Ratings & 163 Reviews",8.0,256.0,6500,6.77,50MP
Vivo,vivo T4 Pro 5G,"₹27,999",4.5,"9,498 Ratings & 613 Reviews",8.0,128.0,6500,6.77,50MP
Vivo,vivo V60 5G,"₹45,999",4.5,536 Ratings & 42 Reviews,16.0,512.0,6500,6.77,50MP
Vivo,vivo Y31 5G,"₹16,499",4.3,153 Ratings & 3 Reviews,6.0,128.0,6500,6.68,50MP
Vivo,vivo Y22,"₹13,499",4.3,"2,442 Ratings & 142 Reviews",4.0,128.0,5000,6.55,50MP
Vivo,vivo Y100A,"₹21,999",4.3,944 Ratings & 53 Reviews,8.0,128.0,4500,6.38,64MP
Vivo,vivo Y28s 5G,"₹17,999",4.3,775 Ratings & 22 Reviews,4.0,128.0,5000,6.56,50MP
Vivo,vivo V50 5G,"₹30,999",4.5,"7,739 Ratings & 635 Reviews",8.0,128.0,6000,6.77,50MP
Vivo,vivo Y19 5G,"₹10,499",4.3,"1,536 Ratings & 60 Reviews",4.0,64.0,5500,6.74,13MP
